"timestamp","symbol","open","high","low","close","trades","volume","vwap","lastSize","turnover","homeNotional","foreignNotional"
"2015-09-01T00:00:00.000Z","XBTH16",303.98,298,298,298,1,450,298,450,134100000,1.341,399.618
"2015-09-01T01:00:00.000Z","XBTH16",298,298,298,298,0,0,,,0,0,0
"2015-09-01T02:00:00.000Z","XBTH16",298,298,294,294,8,6950,295.776,1000,2055640000,20.556400000000004,6080.16724
"2015-09-01T03:00:00.000Z","XBTH16",294,294,294,294,0,0,,,0,0,0
"2015-09-01T04:00:00.000Z","XBTH16",294,294,294,294,0,0,,,0,0,0
"2015-09-01T05:00:00.000Z","XBTH16",294,294,294,294,0,0,,,0,0,0
"2015-09-01T06:00:00.000Z","XBTH16",294,294,294,294,0,0,,,0,0,0
"2015-09-01T07:00:00.000Z","XBTH16",294,294,294,294,0,0,,,0,0,0
"2015-09-01T08:00:00.000Z","XBTH16",294,294,294,294,0,0,,,0,0,0
"2015-09-01T09:00:00.000Z","XBTH16",294,298,298,298,2,1000,298,500,298000000,2.98,888.04
"2015-09-01T10:00:00.000Z","XBTH16",298,291,290,290,2,2000,290.5,1000,581000000,5.8100000000000005,1687.81
"2015-09-01T11:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T12:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T13:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T14:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T15:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T16:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T17:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T18:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-01T19:00:00.000Z","XBTH16",290,297,297,297,1,1000,297,1000,297000000,2.97,882.09
"2015-09-01T20:00:00.000Z","XBTH16",297,297,297,297,0,0,,,0,0,0
"2015-09-01T21:00:00.000Z","XBTH16",297,297,297,297,0,0,,,0,0,0
"2015-09-01T22:00:00.000Z","XBTH16",297,297,297,297,0,0,,,0,0,0
"2015-09-01T23:00:00.000Z","XBTH16",297,297,297,297,0,0,,,0,0,0
"2015-09-02T00:00:00.000Z","XBTH16",297,297,297,297,0,0,,,0,0,0
"2015-09-02T01:00:00.000Z","XBTH16",297,292,291,291,3,3000,291.367,1000,874100000,8.741,2546.8421
"2015-09-02T02:00:00.000Z","XBTH16",291,291,291,291,0,0,,,0,0,0
"2015-09-02T03:00:00.000Z","XBTH16",291,290.1,290.04,290.04,3,3000,290.063,1000,870190000,8.7019,2524.102141
"2015-09-02T04:00:00.000Z","XBTH16",290.04,290.04,290.04,290.04,0,0,,,0,0,0
"2015-09-02T05:00:00.000Z","XBTH16",290.04,290.04,290.04,290.04,0,0,,,0,0,0
"2015-09-02T06:00:00.000Z","XBTH16",290.04,294.02,292.55,292.55,3,3000,293.283,1000,879850000,8.798499999999999,2580.4642129999997
"2015-09-02T07:00:00.000Z","XBTH16",292.55,292.09,291.36,291.36,2,2000,291.725,1000,583450000,5.8345,1702.072177
"2015-09-02T08:00:00.000Z","XBTH16",291.36,290.12,290,290,2,2000,290.06,1000,580120000,5.8012,1682.696144
"2015-09-02T09:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-02T10:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-02T11:00:00.000Z","XBTH16",290,290.8,290.13,290.13,2,2000,290.465,1000,580930000,5.8093,1687.400569
"2015-09-02T12:00:00.000Z","XBTH16",290.13,290.13,290.13,290.13,0,0,,,0,0,0
"2015-09-02T13:00:00.000Z","XBTH16",290.13,290.13,290.13,290.13,0,0,,,0,0,0
"2015-09-02T14:00:00.000Z","XBTH16",290.13,290.13,290.13,290.13,0,0,,,0,0,0
"2015-09-02T15:00:00.000Z","XBTH16",290.13,290.13,290.13,290.13,0,0,,,0,0,0
"2015-09-02T16:00:00.000Z","XBTH16",290.13,290.13,290.13,290.13,0,0,,,0,0,0
"2015-09-02T17:00:00.000Z","XBTH16",290.13,290.13,290.13,290.13,0,0,,,0,0,0
"2015-09-02T18:00:00.000Z","XBTH16",290.13,294,294,294,1,25,294,25,7350000,0.0735,21.609
"2015-09-02T19:00:00.000Z","XBTH16",294,294,294,294,0,0,,,0,0,0
"2015-09-02T20:00:00.000Z","XBTH16",294,290,290,290,1,1000,290,1000,290000000,2.9,841
"2015-09-02T21:00:00.000Z","XBTH16",290,294.25,294,294.25,2,50,294.125,25,14706250,0.14706249999999998,43.254765625000005
"2015-09-02T22:00:00.000Z","XBTH16",294.25,294.25,294.25,294.25,0,0,,,0,0,0
"2015-09-02T23:00:00.000Z","XBTH16",294.25,290,289.5,289.5,2,1250,289.6,1000,362000000,3.62,1048.3525
"2015-09-03T00:00:00.000Z","XBTH16",289.5,289.5,289.5,289.5,0,0,,,0,0,0
"2015-09-03T01:00:00.000Z","XBTH16",289.5,289.5,289.5,289.5,0,0,,,0,0,0
"2015-09-03T02:00:00.000Z","XBTH16",289.5,289.5,289.5,289.5,0,0,,,0,0,0
"2015-09-03T03:00:00.000Z","XBTH16",289.5,289.5,289.5,289.5,0,0,,,0,0,0
"2015-09-03T04:00:00.000Z","XBTH16",289.5,289.5,289.5,289.5,0,0,,,0,0,0
"2015-09-03T05:00:00.000Z","XBTH16",289.5,289.5,289.5,289.5,0,0,,,0,0,0
"2015-09-03T06:00:00.000Z","XBTH16",289.5,289.1,289.01,289.1,2,2000,289.055,1000,578110000,5.7811,1671.055901
"2015-09-03T07:00:00.000Z","XBTH16",289.1,289,289,289,1,2500,289,2500,722500000,7.225,2088.025
"2015-09-03T08:00:00.000Z","XBTH16",289,291.15,289.67,289.67,2,1100,289.805,1000,318785000,3.18785,923.8554115
"2015-09-03T09:00:00.000Z","XBTH16",289.67,289.67,289.67,289.67,0,0,,,0,0,0
"2015-09-03T10:00:00.000Z","XBTH16",289.67,289.67,289.67,289.67,0,0,,,0,0,0
"2015-09-03T11:00:00.000Z","XBTH16",289.67,289.67,289.67,289.67,0,0,,,0,0,0
"2015-09-03T12:00:00.000Z","XBTH16",289.67,285.1,285.1,285.1,1,1,285.1,1,285100,0.002851,0.8128201
"2015-09-03T13:00:00.000Z","XBTH16",285.1,285.1,285.1,285.1,0,0,,,0,0,0
"2015-09-03T14:00:00.000Z","XBTH16",285.1,285.11,285.11,285.11,1,1,285.11,1,285110,0.0028511,0.8128771210000001
"2015-09-03T15:00:00.000Z","XBTH16",285.11,285.11,285.11,285.11,0,0,,,0,0,0
"2015-09-03T16:00:00.000Z","XBTH16",285.11,285.11,285.11,285.11,0,0,,,0,0,0
"2015-09-03T17:00:00.000Z","XBTH16",285.11,285.1,285.1,285.1,3,1500,285.1,500,427650000,4.2765,1219.23015
"2015-09-03T18:00:00.000Z","XBTH16",285.1,285.1,285.1,285.1,0,0,,,0,0,0
"2015-09-03T19:00:00.000Z","XBTH16",285.1,289,285.1,289,2,1500,285.103,1,427653900,4.276539,1219.2525399
"2015-09-03T20:00:00.000Z","XBTH16",289,289,289,289,0,0,,,0,0,0
"2015-09-03T21:00:00.000Z","XBTH16",289,289,289,289,1,1,289,1,289000,0.00289,0.83521
"2015-09-03T22:00:00.000Z","XBTH16",289,289,289,289,0,0,,,0,0,0
"2015-09-03T23:00:00.000Z","XBTH16",289,289,289,289,0,0,,,0,0,0
"2015-09-04T00:00:00.000Z","XBTH16",289,285.11,285.1,285.1,2,401,285.1,400,114325110,1.1432511,325.94091712100004
"2015-09-04T01:00:00.000Z","XBTH16",285.1,285.1,285.1,285.1,0,0,,,0,0,0
"2015-09-04T02:00:00.000Z","XBTH16",285.1,290,290,290,1,10,290,10,2900000,0.029,8.41
"2015-09-04T03:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-04T04:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-04T05:00:00.000Z","XBTH16",290,290,290,290,0,0,,,0,0,0
"2015-09-04T06:00:00.000Z","XBTH16",290,291.99,291,291.99,2,11,291.9,10,3210900,0.032109,9.37262601
"2015-09-04T07:00:00.000Z","XBTH16",291.99,291.99,291.99,291.99,0,0,,,0,0,0
"2015-09-04T08:00:00.000Z","XBTH16",291.99,291.99,291.99,291.99,0,0,,,0,0,0
"2015-09-04T09:00:00.000Z","XBTH16",291.99,291.99,291.99,291.99,0,0,,,0,0,0
