"timestamp","symbol","open","high","low","close","trades","volume","vwap","lastSize","turnover","homeNotional","foreignNotional"
"2016-01-01T00:00:00.000Z","XBTM16",612.5,600,583.01,595,10,4887,592.069,500,2893439900,28.934399,17132.09377921
"2016-01-02T00:00:00.000Z","XBTM16",595,603,595,601,9,2400,597.432,5,1433836000,14.33836,8566.503579999999
"2016-01-03T00:00:00.000Z","XBTM16",601,602,590.02,592,12,1443,596.496,500,860744120,8.6074412,5134.571636424001
"2016-01-04T00:00:00.000Z","XBTM16",592,591.05,580,580,10,3166,585.506,189,1853712000,18.537119999999998,10853.8659052
"2016-01-05T00:00:00.000Z","XBTM16",580,589.99,580,589,8,4716,588.285,297,2774353030,27.743530299999996,16321.556756103
"2016-01-06T00:00:00.000Z","XBTM16",589,596,586,586,15,5843,589.09,575,3442055050,34.4205505,20276.995415924997
"2016-01-07T00:00:00.000Z","XBTM16",586,585,580,580,5,3250,581.615,1500,1890250000,18.902499999999996,10994.1125
"2016-01-08T00:00:00.000Z","XBTM16",580,655,590,653.9,39,11130,636.808,100,7087670660,70.8767066,45159.75682764
"2016-01-09T00:00:00.000Z","XBTM16",653.9,655,638.98,646.98,8,5218,643.727,100,3358966640,33.5896664,21624.254067867998
"2016-01-10T00:00:00.000Z","XBTM16",646.98,646.96,621.1,646.96,7,1226,628.513,100,770556530,7.7055653,4844.041399673
"2016-01-11T00:00:00.000Z","XBTM16",646.96,639.89,616.01,629,13,1137,620.86,10,705918350,7.0591835,4382.862352219001
"2016-01-12T00:00:00.000Z","XBTM16",629,644.43,638.5,642.41,25,14818,639.349,16,9473871830,94.7387183,60571.376726605005
"2016-01-13T00:00:00.000Z","XBTM16",642.41,631,607,607,38,15909,620.737,207,9875297310,98.75297310000002,61313.039659701
"2016-01-14T00:00:00.000Z","XBTM16",607,617,600.01,613,36,18107,609.377,200,11033989040,110.33989040000003,67243.688694208
"2016-01-15T00:00:00.000Z","XBTM16",613,613,602,605,29,6309,606.913,100,3829013480,38.29013479999998,23239.141835929997
"2016-01-16T00:00:00.000Z","XBTM16",605,605,500,500,146,127053,563.955,200,71652215950,716.5221594999997,405021.222264203
"2016-01-17T00:00:00.000Z","XBTM16",500,542.77,475.88,540.92,51,25950,522.041,475,13546957640,135.46957640000002,70774.79147315401
"2016-01-18T00:00:00.000Z","XBTM16",540.92,543.39,530.19,536.49,30,9601,537.794,1,5163364180,51.63364179999999,27769.474330689998
"2016-01-19T00:00:00.000Z","XBTM16",536.49,544.95,529.79,536.4,37,14052,537.315,1,7550353310,75.50353310000001,40571.18317662101
"2016-01-20T00:00:00.000Z","XBTM16",536.4,538.75,526.7,527.42,19,2887,533.364,4,1539821920,15.3982192,8213.290996362
"2016-01-21T00:00:00.000Z","XBTM16",527.42,584.95,523.57,584.95,53,19315,558.051,10,10778762080,107.78762079999998,60248.88140668599
