"timestamp","symbol","open","high","low","close","trades","volume","vwap","lastSize","turnover","homeNotional","foreignNotional"
"2020-03-13T09:00:00.000Z","XBTU20",5666,5666,5047.5,5135.5,198,163477,5140.5953,1000,3180276714,31.80276714,163477
"2020-03-13T10:00:00.000Z","XBTU20",5135.5,5546.5,5112.5,5425,376,459336,5294.0865,16,8676806474,86.76806473999999,459336
"2020-03-13T11:00:00.000Z","XBTU20",5425,5583.5,5300,5427,353,326737,5413.3059,1,6035925377,60.35925377,326737
"2020-03-13T12:00:00.000Z","XBTU20",5427,5431.5,5110.5,5305.5,554,563698,5256.7944,1,10723562744,107.23562744,563698
"2020-03-13T13:00:00.000Z","XBTU20",5305.5,5700,5301,5407,428,506481,5467.4686,500,9263819318,92.63819318,506481
"2020-03-13T14:00:00.000Z","XBTU20",5407,5746,5349.5,5461,990,1474155,5565.4497,100,26488218693,264.88218693,1474155
"2020-03-13T15:00:00.000Z","XBTU20",5461,5699,5333,5348,446,645512,5518.4592,2500,11697468489,116.97468489000002,645512
"2020-03-13T16:00:00.000Z","XBTU20",5348,5363.5,4674,5060,1263,2694791,5034.9932,33,53523298764,535.2329876399998,2694791
"2020-03-13T17:00:00.000Z","XBTU20",5060,5297,4912.5,5089,558,1019784,5093.2057,100,20022590082,200.22590082000002,1019784
"2020-03-13T18:00:00.000Z","XBTU20",5089,5201.5,4970,5050,366,441047,5055.8673,100,8723827887,87.23827887,441047
"2020-03-13T19:00:00.000Z","XBTU20",5050,5066,4505.5,4821,784,989727,4808.8483,98,20582064633,205.82064633,989727
"2020-03-13T20:00:00.000Z","XBTU20",4821,5377.5,4720,5155.5,695,831619,5042.1015,3,16493500861,164.93500860999998,831619
"2020-03-13T21:00:00.000Z","XBTU20",5155.5,5306.5,5077,5154,524,545560,5206.7062,1000,10478444614,104.78444614,545560
"2020-03-13T22:00:00.000Z","XBTU20",5154,5338,4562,5051,584,1189277,5110.6455,264,23270955249,232.70955249000002,1189277
"2020-03-13T23:00:00.000Z","XBTU20",5051,5405,5050.5,5370,582,466455,5295.2078,1500,8809348914,88.09348914000003,466455
"2020-03-14T00:00:00.000Z","XBTU20",5370,5490,5048.5,5295,493,432016,5305.8842,500,8142232107,81.42232107,432016
"2020-03-14T01:00:00.000Z","XBTU20",5295,5396,5206.5,5323,238,334540,5317.4519,56,6291505510,62.91505509999999,334540
"2020-03-14T02:00:00.000Z","XBTU20",5323,5393,5168,5333,422,318469,5267.8713,1508,6045674074,60.45674073999999,318469
"2020-03-14T03:00:00.000Z","XBTU20",5333,5439.5,5194.5,5405,315,159786,5324.5301,3165,3000941882,30.00941882,159786
"2020-03-14T04:00:00.000Z","XBTU20",5405,5459,5336,5385.5,280,181457,5398.985,600,3361010459,33.610104590000006,181457
"2020-03-14T05:00:00.000Z","XBTU20",5385.5,5407,5275,5384.5,1055,919115,5362.5054,1294,17139841910,171.3984191,919115
"2020-03-14T06:00:00.000Z","XBTU20",5384.5,5414.5,5308.5,5310,727,626722,5357.9083,15,11697684080,116.9768408,626722
"2020-03-14T07:00:00.000Z","XBTU20",5310,5310,5253.5,5270.5,646,785241,5285.971,5000,14855457922,148.55457921999997,785241
"2020-03-14T08:00:00.000Z","XBTU20",5270.5,5360,5244,5344,352,327494,5283.1784,30,6198875779,61.988757789999994,327494
"2020-03-14T09:00:00.000Z","XBTU20",5344,5359.5,5060.5,5148.5,714,514988,5149.5958,2500,10000919495,100.00919495,514988
"2020-03-14T10:00:00.000Z","XBTU20",5148.5,5162.5,5004.5,5016,557,490149,5091.6497,1204,9626869614,96.26869614,490149
"2020-03-14T11:00:00.000Z","XBTU20",5016,5169.5,4985,5169,696,723789,5096.3205,800,14202439975,142.02439975,723789
"2020-03-14T12:00:00.000Z","XBTU20",5169,5306,5141,5245,558,819628,5240.5408,250,15640481308,156.4048130799999,819628
"2020-03-14T13:00:00.000Z","XBTU20",5245,5244.5,5080,5195.5,424,307659,5151.7181,550,5971974360,59.71974359999999,307659
"2020-03-14T14:00:00.000Z","XBTU20",5195.5,5200,5090,5102.5,469,564248,5150.6567,30,10955113507,109.55113507000002,564248
"2020-03-14T15:00:00.000Z","XBTU20",5102.5,5170,5100,5169.5,394,465931,5134.7882,50,9074245538,90.74245538,465931
"2020-03-14T16:00:00.000Z","XBTU20",5169.5,5217.5,5110.5,5121.5,512,392556,5162.3561,2560,7604329912,76.04329911999997,392556
"2020-03-14T17:00:00.000Z","XBTU20",5121.5,5320,5070,5255.5,1131,1035386,5237.5216,10,19769226400,197.69226400000002,1035386
"2020-03-14T18:00:00.000Z","XBTU20",5255.5,5270,5204.5,5254,404,426790,5229.305,500,8161772898,81.61772897999998,426790
"2020-03-14T19:00:00.000Z","XBTU20",5254,5416,5243.5,5334.5,864,1114933,5353.8923,3185,20824767185,208.24767185,1114933
"2020-03-14T20:00:00.000Z","XBTU20",5334.5,5380,5265.5,5270,399,470563,5335.8946,7000,8819262018,88.19262018,470563
"2020-03-14T21:00:00.000Z","XBTU20",5270,5295.5,5175,5210,612,655992,5231.4936,5000,12539895829,125.39895828999998,655992
"2020-03-14T22:00:00.000Z","XBTU20",5210,5216,5137.5,5176.5,382,255736,5184.3019,543,4932905988,49.329059879999996,255736
"2020-03-14T23:00:00.000Z","XBTU20",5176.5,5199.5,5058,5154,465,277648,5110.6455,3,5433007574,54.33007574,277648
