"timestamp","symbol","open","high","low","close","trades","volume","vwap","lastSize","turnover","homeNotional","foreignNotional"
"2016-12-17T00:00:00.000Z","XBTH17",855,857.86,813,824.36,197,620303,823.92,500,75287243891,752.8724389099998,620303
"2016-12-18T00:00:00.000Z","XBTH17",824.36,850.62,823.87,838.4,668,1873601,837.1704,3000,223803145628,2238.0314562800017,1873601
"2016-12-19T00:00:00.000Z","XBTH17",838.4,840.89,822.96,834.92,400,1321573,831.2206,3000,158992671249,1589.92671249,1321573
"2016-12-20T00:00:00.000Z","XBTH17",834.92,839.89,832.76,838,288,677612,836.1204,111,81042739897,810.4273989699999,677612
"2016-12-21T00:00:00.000Z","XBTH17",838,848.35,832.72,844.67,551,1665978,838.8417,201,198605661211,1986.0566121099985,1665978
"2016-12-22T00:00:00.000Z","XBTH17",844.67,893.5,840.8,891.15,977,3286536,863.7816,1950,380483361066,3804.833610660001,3286536
"2016-12-23T00:00:00.000Z","XBTH17",891.15,939.25,884.85,909.01,1059,3200646,908.191,2000,352420842643,3524.2084264299974,3200646
"2016-12-24T00:00:00.000Z","XBTH17",909.01,994.99,908.72,985.35,1211,5990785,954.0437,2100,627938396931,6279.383969310011,5990785
"2016-12-25T00:00:00.000Z","XBTH17",985.35,987.98,935.73,944.03,655,3169885,957.9553,1650,330902905936,3309.0290593599943,3169885
"2016-12-26T00:00:00.000Z","XBTH17",944.03,952.7,907.25,950.05,1051,2942565,928.2638,2800,316998763428,3169.9876342800026,2942565
"2016-12-27T00:00:00.000Z","XBTH17",950.05,982.1,951.89,962.83,573,2559361,965.6984,20000,265027115309,2650.27115309,2559361
"2016-12-28T00:00:00.000Z","XBTH17",962.83,1023.01,955.76,1002.66,1207,4916727,992.8219,2000,495231551114,4952.3155111399965,4916727
"2016-12-29T00:00:00.000Z","XBTH17",1002.66,1049,975,1030.42,1919,9791209,1021.3774,1550,958629141977,9586.291419770017,9791209
"2016-12-30T00:00:00.000Z","XBTH17",1030.42,1040.84,983.36,1029.98,1820,6988433,1014.0651,10,689153795115,6891.53795115001,6988433
"2016-12-31T00:00:00.000Z","XBTH17",1029.98,1028.28,965,1008,1764,8190255,995.2328,15000,822950513348,8229.505133479997,8190255
