"timestamp","symbol","open","high","low","close","trades","volume","vwap","lastSize","turnover","homeNotional","foreignNotional"
"2014-12-19T00:00:00.000Z","XBTH15",343,360,321,352.04,60,27293,345.667,150,9434302610,94.34302609999999,32636.486561791004
"2014-12-20T00:00:00.000Z","XBTH15",352.04,355.94,335,352.14,30,1065,340.906,1,363064420,3.6306442000000003,1238.1956235320004
"2014-12-21T00:00:00.000Z","XBTH15",352.14,362.72,334,334,46,10505,350.943,45,3686660510,36.866605099999994,12942.483375859001
"2014-12-22T00:00:00.000Z","XBTH15",334,359.38,354.92,355,39,6623,356.726,50,2362598790,23.625987899999995,8428.063583109002
"2014-12-23T00:00:00.000Z","XBTH15",355,364.77,334,363.33,31,8776,357.062,219,3133576890,31.3357689,11189.927584795001
"2014-12-24T00:00:00.000Z","XBTH15",363.33,389.07,358,381.86,43,9494,374.066,1,3551378820,35.51378819999999,13298.132362944008
"2014-12-25T00:00:00.000Z","XBTH15",381.86,382,359,368,10,2866,371.563,1995,1064900000,10.649,3957.7304
"2014-12-26T00:00:00.000Z","XBTH15",368,368,350,359,16,2089,363.366,1,759072000,7.590719999999999,2758.62474
"2014-12-27T00:00:00.000Z","XBTH15",359,364.67,362,362,7,577,363.887,30,209963040,2.0996303999999997,764.032573608
"2014-12-28T00:00:00.000Z","XBTH15",362,362.75,351,351,38,18189,359.074,32,6531193750,65.3119375,23452.575255625
"2014-12-29T00:00:00.000Z","XBTH15",351,359,351,358,16,551,355.922,50,196112810,1.9611281,698.0342885009999
"2014-12-30T00:00:00.000Z","XBTH15",358,355,355,355,1,1,355,1,355000,0.00355,1.26025
"2014-12-31T00:00:00.000Z","XBTH15",355,361.41,353.5,353.5,9,13999,361.33,1,5058252360,50.582523599999995,18277.015043725998
"2015-01-01T00:00:00.000Z","XBTH15",353.5,361,353.5,361,7,501,357.29,50,179002500,1.790025,639.5889225999998
"2015-01-02T00:00:00.000Z","XBTH15",361,363,355,363,11,511,357.72,55,182795060,1.8279505999999999,653.930876006
"2015-01-03T00:00:00.000Z","XBTH15",363,357.73,354.18,354.18,8,1567,357.417,1,560072240,5.6007223999999995,2001.7930959220002
"2015-01-04T00:00:00.000Z","XBTH15",354.18,355,352.5,352.5,16,5230,353.502,100,1848815000,18.488149999999997,6535.615955000002
"2015-01-05T00:00:00.000Z","XBTH15",352.5,358,286.61,297,94,84869,321.99,100,27327001200,273.27001200000007,88306.82546201999
"2015-01-06T00:00:00.000Z","XBTH15",297,315.2,295.01,304,34,38078,307.189,400,11697139600,116.97139599999998,35952.486583652004
"2015-01-07T00:00:00.000Z","XBTH15",304,325,301,319.22,34,66976,310.153,1,20772781720,207.7278172,64451.149076584006
"2015-01-08T00:00:00.000Z","XBTH15",319.22,336.5,318.11,336.5,12,23430,325.274,10,7621175600,76.211756,24792.08769638
"2015-01-09T00:00:00.000Z","XBTH15",336.5,333.81,322.99,331,21,14625,331.75,1000,4851836980,48.5183698,16096.958594846003
"2015-01-10T00:00:00.000Z","XBTH15",331,333,320,333,9,3149,327.554,1000,1031466010,10.314660100000001,3379.364715699
"2015-01-11T00:00:00.000Z","XBTH15",333,330,305,305,25,5875,314.241,490,1846165450,18.461654499999998,5804.451473545
"2015-01-12T00:00:00.000Z","XBTH15",305,307,298,298,6,1011,303.223,1,306558000,3.0655799999999997,929.62064
"2015-01-13T00:00:00.000Z","XBTH15",298,307,297,305,13,20746,305.049,250,6328544190,63.2854419,19305.494323153
"2015-01-14T00:00:00.000Z","XBTH15",305,296,250,250,95,118775,265.59,1,31545501530,315.45501530000007,83810.550491627
"2015-01-15T00:00:00.000Z","XBTH15",250,290,197.59,220,107,206649,236.448,4840,48861785680,488.61785679999997,115816.48322465597
"2015-01-16T00:00:00.000Z","XBTH15",220,270,227.44,242,37,67212,253.008,1,17005140310,170.05140310000002,43059.162866643004
"2015-01-17T00:00:00.000Z","XBTH15",242,256,242.01,242.01,5,1752,255.312,1,447305760,4.4730576,1142.0576392759997
"2015-01-18T00:00:00.000Z","XBTH15",242.01,245,221,238,18,63321,237.641,1,15047664210,150.47664210000002,35769.16477652101
"2015-01-19T00:00:00.000Z","XBTH15",238,245,238,245,4,19958,240.533,30,4800550000,48.005500000000005,11548.1467
"2015-01-20T00:00:00.000Z","XBTH15",245,260,241.29,260,16,16472,245.33,50,4041070000,40.410700000000006,9915.442626
"2015-01-21T00:00:00.000Z","XBTH15",260,260,244.51,253,66,90559,251.06,5000,22735774270,227.3577427,57093.276505771
"2015-01-22T00:00:00.000Z","XBTH15",253,257.99,248,257.99,18,57350,250.727,500,14379197000,143.79197000000002,36054.9956459
"2015-01-23T00:00:00.000Z","XBTH15",257.99,277.42,258.66,261,56,79434,266.73,432,21187444740,211.87444739999995,56534.61004568599
"2015-01-24T00:00:00.000Z","XBTH15",261,260,248,256,25,28500,251.362,1000,7163830000,71.6383,18008.767238999997
"2015-01-25T00:00:00.000Z","XBTH15",256,264,254,259,8,6000,259.91,995,1559460000,15.5946,4053.767816
"2015-01-26T00:00:00.000Z","XBTH15",259,274,264,265,22,17571,266.406,50,4681025000,46.810249999999996,12472.237259000001
"2015-01-27T00:00:00.000Z","XBTH15",265,330,280,280,168,172208,305.283,100,52572143860,525.7214386000004,160681.03163274593
"2015-01-28T00:00:00.000Z","XBTH15",280,284.01,267,280,36,20086,275.096,5,5525587130,55.25587130000001,15203.456629195
"2015-01-29T00:00:00.000Z","XBTH15",280,286,226,250,62,43846,259.856,1000,11393667810,113.93667810000004,29663.67126029299
"2015-01-30T00:00:00.000Z","XBTH15",250,262,248,262,48,41507,253.484,490,10521371010,105.21371009999999,26673.681051200994
"2015-01-31T00:00:00.000Z","XBTH15",262,264.08,246,246,32,71584,252.822,2500,18098026540,180.9802654,45768.023728436
"2015-02-01T00:00:00.000Z","XBTH15",246,252,242,242,13,35400,247.599,2500,8765000000,87.64999999999998,21706.649999999994
"2015-02-02T00:00:00.000Z","XBTH15",242,241,196,235,96,95457,230.571,1,22009617500,220.09617500000004,50762.75349285
"2015-02-03T00:00:00.000Z","XBTH15",235,259.5,238,256.07,19,6868,248.393,1,1705960760,17.059607599999996,4240.513284662
"2015-02-04T00:00:00.000Z","XBTH15",256.07,262.66,243.01,243.01,19,7575,255.186,1000,1933036230,19.330362299999997,4935.166717144999
"2015-02-05T00:00:00.000Z","XBTH15",243.01,244.63,234,238,20,9452,240.465,1,2272875000,22.72875,5466.287528399999
"2015-02-06T00:00:00.000Z","XBTH15",238,242.39,230.01,230.01,10,4901,236.997,1,1161520010,11.6152001,2753.242948001
"2015-02-07T00:00:00.000Z","XBTH15",230.01,233,228,228,13,9002,230.889,1,2078460990,20.7846099,4799.052634499
"2015-02-08T00:00:00.000Z","XBTH15",228,243.56,236.01,236.01,10,1505,239.995,1,361191910,3.6119191,866.8816913330002
"2015-02-09T00:00:00.000Z","XBTH15",236.01,244,233,233,8,1504,240.993,1,362452740,3.6245274,873.6746927060001
